Wavelength nm,Sample 1,Sample 2,Sample3,Sample 4
400,27.408,27.552,27.916,30.94
400.5,26.834,26.948,27.393,30.368
401,26.334,26.32,26.932,29.779
401.5,25.84,25.765,26.512,29.271
402,25.252,25.098,25.973,28.506
402.5,24.615,24.367,25.248,27.643
403,24.083,23.801,24.503,26.857
403.5,23.733,23.448,24.009,26.387
404,23.32,23.082,23.577,26.045
404.5,22.893,22.811,23.221,25.802
405,22.571,22.603,23.018,25.661
405.5,22.42,22.502,22.922,25.592
406,22.353,22.426,22.938,25.563
406.5,22.211,22.333,22.937,25.489
407,21.967,22.026,22.744,25.251
407.5,21.667,21.663,22.42,24.847
408,21.337,21.3,21.977,24.41
408.5,20.888,20.855,21.526,23.97
409,20.358,20.319,20.991,23.461
409.5,19.872,19.827,20.494,22.995
410,19.435,19.399,20.072,22.59
410.5,19.22,19.201,19.764,22.332
411,19.111,19.11,19.606,22.199
411.5,19.071,19.033,19.548,22.136
412,19.087,19.037,19.543,22.123
412.5,19.07,19.044,19.51,22.013
413,18.922,18.999,19.362,21.888
413.5,18.657,18.837,19.188,21.679
414,18.336,18.555,18.906,21.389
414.5,18.005,18.188,18.624,21.048
415,17.668,17.831,18.341,20.707
415.5,17.374,17.517,17.998,20.324
416,16.958,17.052,17.548,19.937
416.5,16.544,16.552,17.125,19.504
417,16.077,16.043,16.625,18.916
417.5,15.671,15.551,16.097,18.339
418,15.248,15.09,15.604,17.805
418.5,14.726,14.586,15.09,17.274
419,14.332,14.168,14.592,16.821
419.5,14.037,13.88,14.303,16.553
420,13.916,13.749,14.194,16.457
420.5,13.855,13.728,14.146,16.454
421,13.772,13.697,14.134,16.558
421.5,13.68,13.682,14.199,16.663
422,13.682,13.741,14.314,16.73
422.5,13.85,13.943,14.578,16.888
423,14.094,14.213,14.877,17.073
423.5,14.398,14.504,15.164,17.283
424,14.836,14.892,15.489,17.509
424.5,15.154,15.166,15.755,17.691
425,15.471,15.42,15.999,17.917
425.5,15.662,15.575,16.161,18.095
426,15.778,15.648,16.253,18.21
426.5,15.721,15.687,16.337,18.317
427,15.724,15.735,16.409,18.424
427.5,15.716,15.793,16.449,18.584
428,15.598,15.721,16.371,18.641
428.5,15.548,15.692,16.391,18.693
429,15.502,15.705,16.364,18.691
429.5,15.291,15.491,16.091,18.399
430,15.08,15.229,15.747,18.02
430.5,14.808,14.88,15.383,17.552
431,14.513,14.501,14.961,17.089
431.5,14.099,14.079,14.532,16.586
432,13.725,13.585,14.079,16.08
432.5,13.427,13.182,13.654,15.726
433,12.955,12.724,13.241,15.388
433.5,12.697,12.489,13.141,15.319
434,12.464,12.352,13.035,15.213
434.5,12.26,12.19,12.871,14.966
435,12.211,12.154,12.742,14.72
435.5,12.125,12.098,12.617,14.545
436,11.983,11.956,12.409,14.431
436.5,11.786,11.794,12.244,14.38
437,11.723,11.736,12.185,14.422
437.5,11.736,11.743,12.181,14.485
438,11.549,11.611,12.086,14.48
438.5,11.36,11.419,11.972,14.39
439,11.136,11.215,11.764,14.146
439.5,10.968,11.079,11.621,13.874
440,11.055,11.162,11.667,13.77
440.5,11.17,11.339,11.869,13.906
441,11.368,11.588,12.177,14.188
441.5,11.558,11.815,12.462,14.44
442,11.732,12.018,12.688,14.614
442.5,11.844,12.119,12.804,14.664
443,11.788,11.987,12.664,14.522
443.5,11.586,11.661,12.32,14.181
444,11.296,11.338,11.935,13.815
444.5,11.027,11.073,11.574,13.53
445,10.896,10.951,11.478,13.483
445.5,10.85,10.93,11.489,13.6
446,10.92,11.064,11.619,13.753
446.5,10.949,11.142,11.691,13.849
447,10.886,11.116,11.66,13.875
447.5,10.88,11.112,11.668,13.901
448,10.911,11.118,11.668,13.908
448.5,11.024,11.198,11.717,13.977
449,11.112,11.321,11.831,14.03
449.5,11.171,11.402,11.859,14.09
